component	artifact	version	repository	status
openmrs-webapp	openmrs-webapp	2.8.6	https://github.com/openmrs/openmrs-core.git	cloned
initializer	initializer-omod	2.11.0	https://github.com/mekomsolutions/openmrs-module-initializer.git	cloned
fhir2	fhir2-omod	4.0.0-SNAPSHOT	https://github.com/openmrs/openmrs-module-fhir2.git	cloned
webservices-rest	webservices.rest-omod	3.4.1	https://github.com/openmrs/openmrs-module-webservices.rest.git	cloned
authentication	authentication-omod	2.3.0	https://github.com/openmrs/openmrs-module-authentication.git	cloned
oauth2login	oauth2login-omod	1.5.0	https://github.com/openmrs/openmrs-module-oauth2login.git	cloned
addresshierarchy	addresshierarchy-omod	2.21.0	https://github.com/openmrs/openmrs-module-addresshierarchy.git	cloned
patientdocuments	patientdocuments-omod	1.1.0-SNAPSHOT	https://github.com/openmrs/openmrs-module-patientdocuments.git	cloned
idgen	idgen-omod	5.0.4	https://github.com/openmrs/openmrs-module-idgen.git	cloned
legacyui	legacyui-omod	2.1.0	https://github.com/openmrs/openmrs-module-legacyui.git	cloned
metadatamapping	metadatamapping-omod	2.0.0	https://github.com/openmrs/openmrs-module-metadatamapping.git	cloned
openconceptlab	openconceptlab-omod	3.0.0	https://github.com/openmrs/openmrs-module-openconceptlab.git	cloned
attachments	attachments-omod	4.0.0	https://github.com/openmrs/openmrs-module-attachments.git	cloned
queue	queue-omod	3.0.0	https://github.com/openmrs/openmrs-module-queue.git	cloned
appointments	appointments-omod	2.1.0-20250318.070530-1	https://github.com/Bahmni/openmrs-module-appointments.git	cloned
teleconsultation	teleconsultation-omod	2.1.0-20250318.154145-1	https://github.com/Bahmni/openmrs-module-teleconsultation.git	cloned
cohort	cohort-omod	3.7.3	https://github.com/openmrs/openmrs-module-cohort.git	cloned
reporting	reporting-omod	2.1.0	https://github.com/openmrs/openmrs-module-reporting.git	cloned
reportingrest	reportingrest-omod	2.0.0	https://github.com/openmrs/openmrs-module-reportingrest.git	cloned
calculation	calculation-omod	2.0.0	https://github.com/openmrs/openmrs-module-calculation.git	cloned
htmlwidgets	htmlwidgets-omod	2.0.1	https://github.com/openmrs/openmrs-module-htmlwidgets.git	cloned
serialization-xstream	serialization.xstream-api	0.3.0	https://github.com/openmrs/openmrs-module-serialization.xstream.git	cloned
patientflags	patientflags-omod	3.0.10	https://github.com/openmrs/openmrs-module-patientflags.git	cloned
ordertemplates	ordertemplates-omod	2.2.0	https://github.com/openmrs/openmrs-module-ordertemplates.git	cloned
o3forms	o3forms-omod	2.3.0	https://github.com/openmrs/openmrs-module-o3forms.git	cloned
emrapi	emrapi-omod	3.4.0	https://github.com/openmrs/openmrs-module-emrapi.git	cloned
event	event-omod	4.0.0	https://github.com/openmrs/openmrs-module-event.git	cloned
bedmanagement	bedmanagement-omod	7.2.0	https://github.com/openmrs/openmrs-module-bedmanagement.git	cloned
stockmanagement	stockmanagement-omod	3.0.0	https://github.com/openmrs/openmrs-module-stockmanagement.git	cloned
billing	billing-omod	2.2.0	https://github.com/openmrs/openmrs-module-billing.git	cloned
fua	fua-omod	1.0.75	https://github.com/proyecto-santaclotilde/openmrs-module-fua.git	cloned
imaging	imaging-omod	1.2.2	https://github.com/proyecto-santaclotilde/openmrs-module-imaging.git	cloned
referencedemodata	referencedemodata-omod	2.6.1	https://github.com/openmrs/openmrs-module-referencedemodata.git	cloned
sihsalus-content	sihsalus-content	1.8.30	https://github.com/sihsalus/sihsalus-content.git	cloned
reference-content	reference-content	1.4.0	https://github.com/openmrs/openmrs-content-referenceapplication.git	cloned
reference-demo-content	reference-demo-content	1.8.0-SNAPSHOT	https://github.com/openmrs/openmrs-content-referenceapplication-demo.git	cloned
sihsalus-interop	sihsalusinterop-omod	1.0.3	https://github.com/proyecto-santaclotilde/openmrs-module-sihsalusinterop.git	cloned-commented-in-pom
